status,round,env_group,model_id,hf_path,variant,variant_desc,dataset,n_samples,examiner_model,out_json,out_cache,run_command,log_path,started_at,finished_at,notes
todo,1,api,openai_gpt-5.4-mini,uniapi/gpt-5.4-mini,v19d9-original,v19d9 unchanged (2 contexts/image default),svg,500,gpt-5.4-mini (hardcoded in dyna_conv_v19d9.py:933),work_dirs/svg500/v19d9-original_gpt54/openai_gpt-5.4-mini.json,work_dirs/svg500/v19d9-original_gpt54/openai_gpt-5.4-mini_cache.json,python examiner/dyna_conv_v19d9.py --dataset svg --num_samples 500 --model_path 'uniapi/gpt-5.4-mini' --outfile  'work_dirs/svg500/v19d9-original_gpt54/openai_gpt-5.4-mini.json' --cache_file 'work_dirs/svg500/v19d9-original_gpt54/openai_gpt-5.4-mini_cache.json' --max_rounds 20,work_dirs/logs_svg500_v19d9-original_gpt54/openai_gpt-5.4-mini.log,,,
todo,1,api,gemini-2.5-flash,gemini/gemini-2.5-flash,v19d9-original,v19d9 unchanged (2 contexts/image default),svg,500,gpt-5.4-mini (hardcoded in dyna_conv_v19d9.py:933),work_dirs/svg500/v19d9-original_gpt54/gemini-2.5-flash.json,work_dirs/svg500/v19d9-original_gpt54/gemini-2.5-flash_cache.json,python examiner/dyna_conv_v19d9.py --dataset svg --num_samples 500 --model_path 'gemini/gemini-2.5-flash' --outfile  'work_dirs/svg500/v19d9-original_gpt54/gemini-2.5-flash.json' --cache_file 'work_dirs/svg500/v19d9-original_gpt54/gemini-2.5-flash_cache.json' --max_rounds 20,work_dirs/logs_svg500_v19d9-original_gpt54/gemini-2.5-flash.log,,,
todo,1,api,openai_gpt-5.4-mini,uniapi/gpt-5.4-mini,v19d9-1ctx-ablation,v19d9 with CONTEXT_PROMPT patched to 1 context/image (1/5 ablation),svg,500,gpt-5.4-mini (hardcoded in dyna_conv_v19d9.py:933),work_dirs/svg500/v19d9-1ctx-ablation_gpt54/openai_gpt-5.4-mini.json,work_dirs/svg500/v19d9-1ctx-ablation_gpt54/openai_gpt-5.4-mini_cache.json,"# requires CONTEXT_PROMPT patched to 1 context (see RERUN_CEDI_GPT54.md §6)
python examiner/dyna_conv_v19d9.py --dataset svg --num_samples 500 --model_path 'uniapi/gpt-5.4-mini' --outfile  'work_dirs/svg500/v19d9-1ctx-ablation_gpt54/openai_gpt-5.4-mini.json' --cache_file 'work_dirs/svg500/v19d9-1ctx-ablation_gpt54/openai_gpt-5.4-mini_cache.json' --max_rounds 20",work_dirs/logs_svg500_v19d9-1ctx-ablation_gpt54/openai_gpt-5.4-mini.log,,,
todo,1,api,gemini-2.5-flash,gemini/gemini-2.5-flash,v19d9-1ctx-ablation,v19d9 with CONTEXT_PROMPT patched to 1 context/image (1/5 ablation),svg,500,gpt-5.4-mini (hardcoded in dyna_conv_v19d9.py:933),work_dirs/svg500/v19d9-1ctx-ablation_gpt54/gemini-2.5-flash.json,work_dirs/svg500/v19d9-1ctx-ablation_gpt54/gemini-2.5-flash_cache.json,"# requires CONTEXT_PROMPT patched to 1 context (see RERUN_CEDI_GPT54.md §6)
python examiner/dyna_conv_v19d9.py --dataset svg --num_samples 500 --model_path 'gemini/gemini-2.5-flash' --outfile  'work_dirs/svg500/v19d9-1ctx-ablation_gpt54/gemini-2.5-flash.json' --cache_file 'work_dirs/svg500/v19d9-1ctx-ablation_gpt54/gemini-2.5-flash_cache.json' --max_rounds 20",work_dirs/logs_svg500_v19d9-1ctx-ablation_gpt54/gemini-2.5-flash.log,,,
todo,2,qwenvl,Qwen2.5-VL-7B-Instruct,Qwen/Qwen2.5-VL-7B-Instruct,v19d9-original,v19d9 unchanged (2 contexts/image default),svg,500,gpt-5.4-mini (hardcoded in dyna_conv_v19d9.py:933),work_dirs/svg500/v19d9-original_gpt54/Qwen2.5-VL-7B-Instruct.json,work_dirs/svg500/v19d9-original_gpt54/Qwen2.5-VL-7B-Instruct_cache.json,python examiner/dyna_conv_v19d9.py --dataset svg --num_samples 500 --model_path 'Qwen/Qwen2.5-VL-7B-Instruct' --outfile  'work_dirs/svg500/v19d9-original_gpt54/Qwen2.5-VL-7B-Instruct.json' --cache_file 'work_dirs/svg500/v19d9-original_gpt54/Qwen2.5-VL-7B-Instruct_cache.json' --max_rounds 20,work_dirs/logs_svg500_v19d9-original_gpt54/Qwen2.5-VL-7B-Instruct.log,,,
todo,2,qwenvl,Qwen3-VL-8B-Instruct,Qwen/Qwen3-VL-8B-Instruct,v19d9-original,v19d9 unchanged (2 contexts/image default),svg,500,gpt-5.4-mini (hardcoded in dyna_conv_v19d9.py:933),work_dirs/svg500/v19d9-original_gpt54/Qwen3-VL-8B-Instruct.json,work_dirs/svg500/v19d9-original_gpt54/Qwen3-VL-8B-Instruct_cache.json,python examiner/dyna_conv_v19d9.py --dataset svg --num_samples 500 --model_path 'Qwen/Qwen3-VL-8B-Instruct' --outfile  'work_dirs/svg500/v19d9-original_gpt54/Qwen3-VL-8B-Instruct.json' --cache_file 'work_dirs/svg500/v19d9-original_gpt54/Qwen3-VL-8B-Instruct_cache.json' --max_rounds 20,work_dirs/logs_svg500_v19d9-original_gpt54/Qwen3-VL-8B-Instruct.log,,,
todo,2,qwenvl,llava-1.5-7b-hf,llava-hf/llava-1.5-7b-hf,v19d9-original,v19d9 unchanged (2 contexts/image default),svg,500,gpt-5.4-mini (hardcoded in dyna_conv_v19d9.py:933),work_dirs/svg500/v19d9-original_gpt54/llava-1.5-7b-hf.json,work_dirs/svg500/v19d9-original_gpt54/llava-1.5-7b-hf_cache.json,python examiner/dyna_conv_v19d9.py --dataset svg --num_samples 500 --model_path 'llava-hf/llava-1.5-7b-hf' --outfile  'work_dirs/svg500/v19d9-original_gpt54/llava-1.5-7b-hf.json' --cache_file 'work_dirs/svg500/v19d9-original_gpt54/llava-1.5-7b-hf_cache.json' --max_rounds 20,work_dirs/logs_svg500_v19d9-original_gpt54/llava-1.5-7b-hf.log,,,
todo,2,qwenvl,Qwen2.5-VL-7B-Instruct,Qwen/Qwen2.5-VL-7B-Instruct,v19d9-1ctx-ablation,v19d9 with CONTEXT_PROMPT patched to 1 context/image (1/5 ablation),svg,500,gpt-5.4-mini (hardcoded in dyna_conv_v19d9.py:933),work_dirs/svg500/v19d9-1ctx-ablation_gpt54/Qwen2.5-VL-7B-Instruct.json,work_dirs/svg500/v19d9-1ctx-ablation_gpt54/Qwen2.5-VL-7B-Instruct_cache.json,"# requires CONTEXT_PROMPT patched to 1 context (see RERUN_CEDI_GPT54.md §6)
python examiner/dyna_conv_v19d9.py --dataset svg --num_samples 500 --model_path 'Qwen/Qwen2.5-VL-7B-Instruct' --outfile  'work_dirs/svg500/v19d9-1ctx-ablation_gpt54/Qwen2.5-VL-7B-Instruct.json' --cache_file 'work_dirs/svg500/v19d9-1ctx-ablation_gpt54/Qwen2.5-VL-7B-Instruct_cache.json' --max_rounds 20",work_dirs/logs_svg500_v19d9-1ctx-ablation_gpt54/Qwen2.5-VL-7B-Instruct.log,,,
todo,2,qwenvl,Qwen3-VL-8B-Instruct,Qwen/Qwen3-VL-8B-Instruct,v19d9-1ctx-ablation,v19d9 with CONTEXT_PROMPT patched to 1 context/image (1/5 ablation),svg,500,gpt-5.4-mini (hardcoded in dyna_conv_v19d9.py:933),work_dirs/svg500/v19d9-1ctx-ablation_gpt54/Qwen3-VL-8B-Instruct.json,work_dirs/svg500/v19d9-1ctx-ablation_gpt54/Qwen3-VL-8B-Instruct_cache.json,"# requires CONTEXT_PROMPT patched to 1 context (see RERUN_CEDI_GPT54.md §6)
python examiner/dyna_conv_v19d9.py --dataset svg --num_samples 500 --model_path 'Qwen/Qwen3-VL-8B-Instruct' --outfile  'work_dirs/svg500/v19d9-1ctx-ablation_gpt54/Qwen3-VL-8B-Instruct.json' --cache_file 'work_dirs/svg500/v19d9-1ctx-ablation_gpt54/Qwen3-VL-8B-Instruct_cache.json' --max_rounds 20",work_dirs/logs_svg500_v19d9-1ctx-ablation_gpt54/Qwen3-VL-8B-Instruct.log,,,
todo,2,qwenvl,llava-1.5-7b-hf,llava-hf/llava-1.5-7b-hf,v19d9-1ctx-ablation,v19d9 with CONTEXT_PROMPT patched to 1 context/image (1/5 ablation),svg,500,gpt-5.4-mini (hardcoded in dyna_conv_v19d9.py:933),work_dirs/svg500/v19d9-1ctx-ablation_gpt54/llava-1.5-7b-hf.json,work_dirs/svg500/v19d9-1ctx-ablation_gpt54/llava-1.5-7b-hf_cache.json,"# requires CONTEXT_PROMPT patched to 1 context (see RERUN_CEDI_GPT54.md §6)
python examiner/dyna_conv_v19d9.py --dataset svg --num_samples 500 --model_path 'llava-hf/llava-1.5-7b-hf' --outfile  'work_dirs/svg500/v19d9-1ctx-ablation_gpt54/llava-1.5-7b-hf.json' --cache_file 'work_dirs/svg500/v19d9-1ctx-ablation_gpt54/llava-1.5-7b-hf_cache.json' --max_rounds 20",work_dirs/logs_svg500_v19d9-1ctx-ablation_gpt54/llava-1.5-7b-hf.log,,,
